Sample in Buffer,Sample in Window,TRIGGER,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tuser[69:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tlast,Interface_(i2:s0)_(axis_data_fifo_8_M_AXIS)[2:0],Interface_(i2:s1)_(ecpri_demux_0_ctrl_data_out)[2:0],Interface_(i2:s2)_(ecpri_demux_0_user_data_out)[2:0],T_Channel_(i2:s0)_(axis_data_fifo_8_M_AXIS)[2:0],T_Channel_(i2:s1)_(ecpri_demux_0_ctrl_data_out)[2:0],T_Channel_(i2:s2)_(ecpri_demux_0_user_data_out)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
22,22,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
23,23,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
24,24,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
25,25,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
26,26,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
27,27,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
28,28,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
29,29,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
30,30,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
31,31,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
32,32,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
33,33,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
34,34,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
35,35,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
36,36,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
37,37,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
38,38,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
39,39,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
40,40,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
41,41,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
42,42,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
43,43,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
44,44,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
45,45,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
46,46,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
47,47,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
48,48,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
49,49,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
50,50,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
51,51,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
52,52,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
53,53,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
54,54,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
55,55,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
56,56,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
57,57,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
58,58,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
59,59,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
60,60,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
61,61,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
62,62,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
63,63,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
64,64,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
65,65,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
66,66,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
67,67,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
68,68,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
69,69,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
70,70,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
71,71,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
72,72,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
73,73,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
74,74,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
75,75,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
76,76,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
