Sample in Buffer,Sample in Window,TRIGGER,CU_Integration_sim_i/system_ila_4/inst/probe0_1[15:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tkeep[7:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tlast,Interface_(i5:s0)_(newset2_configs_0_data_out)[2:0],Interface_(i5:s1)_(BBU_config_manager_0_ORAN_index_V_V)[2:0],Interface_(i5:s2)_(BBU_config_manager_0_ORAN_V_V)[2:0],Interface_(i5:s3)_(config_manager_oran_0_beam_data_V_V)[2:0],Interface_(i5:s4)_(S_AXIS1_2)[2:0],Interface_(i5:s5)_(config_manager_oran_0_C_PLANE_V_V)[2:0],T_Channel_(i5:s0)_(newset2_configs_0_data_out)[2:0],T_Channel_(i5:s1)_(BBU_config_manager_0_ORAN_index_V_V)[2:0],T_Channel_(i5:s2)_(BBU_config_manager_0_ORAN_V_V)[2:0],T_Channel_(i5:s3)_(config_manager_oran_0_beam_data_V_V)[2:0],T_Channel_(i5:s4)_(S_AXIS1_2)[2:0],T_Channel_(i5:s5)_(config_manager_oran_0_C_PLANE_V_V)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
896,896,0,44820,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
897,897,0,44821,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
898,898,0,44822,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
899,899,0,44823,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
900,900,0,44824,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
901,901,0,44825,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
902,902,0,44826,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
903,903,0,44827,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
904,904,0,44828,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
905,905,0,44829,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
906,906,0,44830,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
907,907,0,44831,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
908,908,0,44832,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
909,909,0,44833,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
910,910,0,44834,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
911,911,0,44835,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
912,912,0,44836,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
913,913,0,44837,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
914,914,0,44838,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
915,915,0,44839,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
916,916,0,44840,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
917,917,0,44841,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
918,918,0,44842,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
919,919,0,44843,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
920,920,0,44844,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
921,921,0,44845,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
922,922,0,44846,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
923,923,0,44847,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
924,924,0,44848,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
925,925,0,44849,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
926,926,0,44850,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
927,927,0,44851,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
928,928,0,44852,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
929,929,0,44853,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
930,930,0,44854,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
931,931,0,44855,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
932,932,0,44856,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
933,933,0,44857,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
934,934,0,44858,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
935,935,0,44859,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
936,936,0,44860,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
937,937,0,44861,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
938,938,0,44862,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
939,939,0,44863,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
940,940,0,44864,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
941,941,0,44865,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
942,942,0,44866,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
943,943,0,44867,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
944,944,0,44868,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
945,945,0,44869,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
946,946,0,44870,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
947,947,0,44871,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
948,948,0,44872,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
949,949,0,44873,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
950,950,0,44874,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
951,951,0,44875,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
952,952,0,44876,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
953,953,0,44877,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
954,954,0,44878,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
955,955,0,44879,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
956,956,0,44880,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
957,957,0,44881,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
958,958,0,44882,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
959,959,0,44883,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
960,960,0,44884,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
961,961,0,44885,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
962,962,0,44886,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
963,963,0,44887,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
964,964,0,44888,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
965,965,0,44889,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
966,966,0,44890,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
967,967,0,44891,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
968,968,0,44892,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
969,969,0,44893,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
970,970,0,44894,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
971,971,0,44895,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
972,972,0,44896,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
973,973,0,44897,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
974,974,0,44898,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
975,975,0,44899,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
976,976,0,44900,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
977,977,0,44901,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
978,978,0,44902,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
979,979,0,44903,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
980,980,0,44904,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
981,981,0,44905,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
982,982,0,44906,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
983,983,0,44907,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
984,984,0,44908,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000004000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
985,985,0,44909,7800000000000000,ff,1,1,0,7800000000000000,0,1,0,7800000000000000,1,1,0,7800000000000000,1,1,0,7800000000000000,0,1,0,7800000000000000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
986,986,0,44910,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
987,987,0,44911,7800000000004000,ff,1,1,0,7800000000004000,0,1,0,7800000000000000,1,1,0,7800000000004000,1,1,0,7800000000004000,0,1,0,7800000000004000,0,1,0,"Active","_","Active","Active","_","_","Stream Beat","_","Stream Beat","Stream Beat","_","_"
